date,platform,campaign_name,impressions,clicks,cost,conversions,revenue
2023-10-17,LinkedIn Ads,Spring Sale,20448,797,1433.83,59,8148.37
2023-10-09,TikTok Ads,New Product Launch,46802,1132,1484.36,52,4396.05
2023-08-27,Google Ads,New Product Launch,9301,219,111.5,13,814.61
2023-01-13,Google Ads,Retargeting,28024,385,754.8,19,2513.82
2023-11-23,Facebook Ads,New Product Launch,22579,348,874.98,9,1332.61
2023-03-29,Facebook Ads,Brand Awareness,24088,354,605.52,32,2437.69
2023-09-20,TikTok Ads,Spring Sale,25953,342,823.08,26,2642.52
2023-04-12,Google Ads,Spring Sale,9263,276,527.76,20,2837.44
2023-11-09,Facebook Ads,Spring Sale,10318,243,515.89,12,1754.17
2023-05-10,TikTok Ads,New Product Launch,42215,1340,1662.33,67,8818.35
2023-08-16,LinkedIn Ads,Spring Sale,46576,1860,4388.21,142,17481.69
2023-05-23,LinkedIn Ads,Retargeting,31216,494,1114.52,40,4604.25
2023-03-29,Google Ads,New Product Launch,34008,645,1621.64,43,2657.7
2023-05-01,Google Ads,Brand Awareness,10868,182,244.68,17,1099.85
2023-06-22,TikTok Ads,Brand Awareness,32297,815,1483.66,36,3060.27
2023-06-03,TikTok Ads,Brand Awareness,10566,195,518.37,16,1115.22
2023-10-28,TikTok Ads,New Product Launch,27260,207,363.78,8,1124.43
2023-09-23,TikTok Ads,New Product Launch,32956,435,625.26,37,3020.74
2023-02-25,Facebook Ads,Spring Sale,21661,577,1534.74,45,3167.88
2023-11-19,Facebook Ads,New Product Launch,18439,712,885.38,15,962.53
2023-10-21,LinkedIn Ads,Retargeting,30010,343,224.81,31,2616.69
2023-11-22,Facebook Ads,Brand Awareness,2051,10,11.02,0,0.0
2023-02-14,Facebook Ads,Spring Sale,22797,855,464.31,78,6290.45
2023-03-01,Facebook Ads,Retargeting,16262,403,723.79,16,1436.32
2023-09-09,Google Ads,New Product Launch,41108,1191,760.26,104,8000.42
2023-10-21,Google Ads,Retargeting,32516,1122,2310.81,58,8570.24
2023-01-19,Facebook Ads,Spring Sale,5698,186,343.09,14,1069.39
2023-09-06,LinkedIn Ads,Spring Sale,38462,911,2544.24,77,10147.2
2023-05-11,Facebook Ads,New Product Launch,4513,164,488.54,15,1946.15
2023-05-18,Google Ads,Spring Sale,21851,568,874.67,50,4847.88
2023-01-15,Google Ads,Spring Sale,37028,1226,2110.58,69,7987.25
2023-10-21,Facebook Ads,New Product Launch,20673,260,283.63,20,1180.32
2023-04-27,Facebook Ads,New Product Launch,23141,828,1119.5,57,6841.01
2023-12-03,Facebook Ads,Retargeting,4944,193,144.25,8,973.52
2023-03-25,Google Ads,Brand Awareness,29604,351,328.93,25,1398.1
2023-06-12,LinkedIn Ads,Brand Awareness,6798,101,210.48,9,749.71
2023-11-07,Facebook Ads,Spring Sale,35740,230,244.24,5,632.27
2023-06-23,Facebook Ads,Spring Sale,14065,429,846.78,36,3499.79
2023-04-26,Facebook Ads,New Product Launch,45265,400,224.19,9,450.2
2023-09-09,Facebook Ads,Brand Awareness,34620,1364,2962.03,114,16426.24
2023-07-11,TikTok Ads,Retargeting,8809,301,242.65,29,4301.72
2023-04-06,TikTok Ads,New Product Launch,13084,336,660.98,10,1121.47
2023-05-10,TikTok Ads,Brand Awareness,9957,130,266.5,10,794.6
2023-06-29,TikTok Ads,Spring Sale,4109,131,166.64,5,546.82
2023-06-22,Google Ads,Spring Sale,13157,141,408.84,13,1577.09
2023-10-01,LinkedIn Ads,Brand Awareness,14918,353,990.98,23,1662.04
2023-08-14,LinkedIn Ads,New Product Launch,37329,1277,3610.24,93,6932.64
2023-07-11,LinkedIn Ads,Brand Awareness,45894,433,779.46,17,1116.76
2023-08-01,TikTok Ads,New Product Launch,29262,944,511.04,79,4580.84
